Question,Answer
Are you using AI in your food waste monitoring system?,"We aren’t currently using AI recognition camera, but we’re integrating AI for our data analysis in our website and dashboard"
Bye,See you later! Keep up the great work reducing food waste. 👋
Can I use FIT offline?,Yes. You can record entries offline and they’ll sync automatically once you’re back online.
Can the FIT system be customized to meet our needs?,"Yes. FIT is highly customizable—data collection points, reporting formats, and analysis metrics can be tailored to your operational goals and stakeholder requirements."
Can the application be used with any type of tablet?,"Yes, it's fully optimized for both Android and iOS devices."
Can the system work offline?,"Yes, the app has offline functionality. Data will sync automatically when the device reconnects to the internet."
"Do you only focus on food waste prevention, or do you help with redistribution and other solutions too?","Our tech focuses on prevention, but at LightBlue we also support solutions like redistribution, animal feed, and transformation to help you reach zero waste to landfill."
Does the pricing include VAT?,Prices on packages are subject to withholding tax 3% to be deducted and VAT 7% to be added
FIT Mobile App: How do I add covers data?,"Select a kitchen, pick a date, and enter covers for each meal type (e.g., Breakfast, Lunch, Dinner). Press 'Send' to save."
FIT Mobile App: How do I add food waste data?,"Select a kitchen, choose meal type and category, select waste type, enter kilograms, then press 'Send' to save."
FIT Mobile App: How do I change the language?,Tap the flag icon at the top right and select your preferred language.
FIT Mobile App: How do I change the shift settings?,"Open the menu (three lines) > 'Shift setting', toggle meal types open/close for the day, and press 'Save'."
FIT Mobile App: How do I enter backdated data?,"Enter data normally, then go to the 'History' tab and use 'edit' to change the entry date."
FIT Mobile App: How do I switch between different kitchens?,Tap the kitchen selector at the top of the screen and choose the desired kitchen from the list.
FIT Mobile App: How do I view past entries?,Open the 'History' tab to view past waste and cover entries; you can edit or delete entries there.
FIT Mobile App: What is the 'Waiting List' feature?,"If offline, entries are stored in the Waiting List. When Wi-Fi is available, press upload in the Waiting List to sync."
FIT Web App: How can I export my data?,Use the dashboard 'Download' button and choose the desired format to export data.
FIT Web App: How do I add cover data?,"Go to 'Add Data' > 'Add Covers', select date, kitchen, shift, and enter number of covers, then click 'Save'."
FIT Web App: How do I add food waste data?,"Go to 'Add Data' > 'Add Food Waste', fill in date, kitchen, shift, waste type, and weight, then click 'Save'."
FIT Web App: How do I edit a data entry?,"Open the relevant 'Add Data' section, locate the entry, make corrections, and save."
FIT Web App: Why is my data consistency low?,"Common causes are missing fields, incorrect entries, or irregular updates. Ensure all required fields are filled and data is recorded daily."
FIT Web App: Why is my data not showing on the dashboard?,"Check filters like date range and kitchen, and confirm the data was saved correctly."
